scenario_id,init_pos,init_vel,ref_pos,ref_vel,oracle_status,oracle_u0,oracle_objective,oracle_min_state_margin,oracle_min_state_margin_step,oracle_min_state_margin_kind,oracle_min_input_margin,oracle_min_input_margin_step,oracle_min_input_margin_kind,oracle_n_active_state,oracle_n_active_input,oracle_x_traj,oracle_u_traj,oracle_state_active,oracle_input_active,oracle_pos_upper_dual_norm_max,oracle_pos_lower_dual_norm_max,oracle_vel_upper_dual_norm_max,oracle_vel_lower_dual_norm_max,oracle_u0_saturated,oracle_max_state_dual_norm,group_fixed,group_quantile
0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,"[[0.8766593553951212, -0.07334587227782594], [0.8718247681833221, -0.023345872259530845], [0.871990180973215, 0.026654127757149332], [0.8771555937645598, 0.0766541277722296], [0.8873210065571117, 0.1266541277857342], [0.9024864193506239, 0.17665412779769696], [0.922651832144849, 0.22665412780816183], [0.9478172449395414, 0.27665412781718296], [0.9779826577344592, 0.32665412782482495], [1.013148070529366, 0.37665412783116303], [1.053313483324033, 0.42665412783628265], [1.098478896118241, 0.47665412784027983], [1.1486443089117826, 0.5266541278432627], [1.2029790611745477, 0.5600409172470276], [1.2594907634037535, 0.5701931271958689], [1.31621463116986, 0.5642842280094684], [1.3718950269013617, 0.5493236865281917], [1.4259159046057779, 0.5310938674917264], [1.4781639314186115, 0.5138666687197857]]","[0.5000000000018908, 0.5000000000017303, 0.5000000000015707, 0.5000000000014132, 0.5000000000012585, 0.5000000000011079, 0.500000000000962, 0.5000000000008221, 0.5000000000006891, 0.5000000000005642, 0.5000000000004482, 0.5000000000003643, 0.33386789401709677, 0.10152209947511312, -0.05908899187162871, -0.14960541481617082, -0.18229819036516437, -0.17227198771824387]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
1,0.6315776929899646,-0.48698718253482054,2.1878628175290773,0.0,optimal,0.5000181656827776,591.2617522134783,0.5630149874882149,1,vel_lower,-1.8165682777571135e-05,0,u_upper,0,17,"[[0.6315778167648881, -0.4869869996167937], [0.5853793313267808, -0.4369850125117852], [0.5441810379416293, -0.3869831665008512], [0.5079829222193593, -0.33698146186051425], [0.47678496962896405, -0.28697989883528097], [0.4505871655378374, -0.2369784770879806], [0.4293894952842357, -0.1869771955904634], [0.4131919442602322, -0.1369760525237701], [0.4019944980040983, -0.08697504518925954], [0.39579714230110685, -0.03697416993064356], [0.3945998632912743, 0.0130265779331539], [0.3984026475832706, 0.06302720416448748], [0.40720548237317533, 0.11302771565309772], [0.4210083555669612, 0.16302812045219495], [0.4398112559057422, 0.2130284278049516], [0.46361417309273334, 0.26302864816200944], [0.4924170979202052, 0.31302879317597654], [0.5262200226138892, 0.36302888006843587], [0.5635301821074874, 0.3831737458828839]]","[0.5000181656827776, 0.5000168793804096, 0.500015590812209, 0.5000142998400643, 0.500013011719227, 0.5000117327038482, 0.5000104699620951, 0.5000092314763245, 0.5000080259435693, 0.5000068626768167, 0.5000057515078744, 0.5000047026926233, 0.5000037268194606, 0.5000028347217326, 0.5000020373955816, 0.5000013457771186, 0.5000008144739507, 0.20144864063244972]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",4.996003610813204e-16,0.0,2.7755575615628914e-17,0.0,True,4.996003610813204e-16,far,far
2,0.8356470463691297,0.3432771663323445,-1.710677289692489,0.0,optimal,-0.5000026493889845,1323.6272767084392,0.46534726726252007,18,vel_lower,-2.649388984532486e-06,0,u_lower,0,17,"[[0.8356470283170747, 0.3432771396545139], [0.8674747109951747, 0.29327684984353586], [0.8943023656631292, 0.24327658061054583], [0.916129994419685, 0.19327633199587185], [0.9329575993841754, 0.1432761040351666], [0.9447851826906444, 0.09327589667925973], [0.9516127464774634, 0.04327570977819604], [0.9534402928751512, -0.006724456933307396], [0.9502678239928977, -0.056724603848841385], [0.9420953419038276, -0.10672473150165815], [0.9289228486293927, -0.15672484057447042], [0.9107503461226336, -0.20672493190769597], [0.8875778362509711, -0.25672500650617464], [0.8594053207782671, -0.3067250655444329], [0.8262328013465762, -0.3567251103705489], [0.7880602794576475, -0.40672514250870595], [0.7448877564543834, -0.4567251636583874], [0.6967152334706319, -0.5067251763312899], [0.6446463339049217, -0.5346527327374799]]","[-0.5000026493889845, -0.5000024617871602, -0.5000022738548763, -0.5000020855719718, -0.500001897704917, -0.500001711165867, -0.5000015270002597, -0.5000013463722821, -0.5000011705503645, -0.5000010008927611, -0.5000008388334132, -0.500000685868087, -0.5000005435410595, -0.500000413432331, -0.500000297145641, -0.5000001962759746, -0.5000001187876253, -0.2792755615078443]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false]]",1.0334545973988063e-16,5.167272986994022e-17,5.477355101626295e-20,1.1102230246251565e-16,True,1.1102230246251565e-16,far,mid
3,-0.15876499873418526,-0.1550423709209025,1.9631189487035678,0.0,optimal,0.4999872314656996,784.7352065557707,0.2971030476614327,18,vel_upper,5.791068382610121e-07,16,u_upper,0,17,"[[-0.15876508460678534, -0.15504249899337363], [-0.17176948416731352, -0.10504389532942873], [-0.1797740187217296, -0.05504519332819579], [-0.18277867823652344, -0.0050463926762768455], [-0.18078345256873468, 0.044952506903568876], [-0.1737883314944335, 0.09495150527578056], [-0.16179330475993406, 0.14495060181558328], [-0.14479836214023167, 0.19494979533916856], [-0.12280349350417827, 0.24494908404153395], [-0.09580868888543034, 0.29494846544194275], [-0.06381393855840017, 0.3449479363369765], [-0.026819233118416257, 0.39494749276116214], [0.015175436434670063, 0.44494712995492364], [0.06217007861025025, 0.49494684233973935], [0.11416470133884399, 0.5449466235001716], [0.17115931188293354, 0.5949464661722084], [0.23315391674771638, 0.644946362244893], [0.30014852147332627, 0.6949463003757856], [0.37004066462543295, 0.7028969523385673]]","[0.4999872314656996, 0.4999881282461291, 0.49998902771186754, 0.499989929825822, 0.4999908308565093, 0.49999172637389944, 0.4999926113091887, 0.4999934800243262, 0.4999943263816576, 0.499995143813158, 0.499995925388782, 0.4999966638828583, 0.49999735183863825, 0.49999798163043596, 0.4999985455213497, 0.49999903579398003, 0.49999942089316174, 0.07950653275559902]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",1.2918182467485079e-17,0.0,0.0,3.2609306826188384e-17,True,3.2609306826188384e-17,mid,mid
4,0.46036838425812654,0.38731393592499597,-0.2602946853942769,0.0,optimal,-0.49999944292035825,127.6713778178141,0.5686244102582987,17,vel_lower,-1.2095559120961497e-07,15,u_lower,0,16,"[[0.46036838690777904, 0.38731394108814404], [0.4965997864513898, 0.33731400169421166], [0.5278311918551613, 0.28731405806025456], [0.5540626026654902, 0.2373141096657912], [0.5752940183866888, 0.18731415623305442], [0.5915254385039743, 0.13731419769507153], [0.6027568625064913, 0.08731423422646518], [0.6089882899134182, 0.03731426627106757], [0.6102197203019948, -0.012685705447117883], [0.6064511533354227, -0.06268567993915071], [0.5976825887874821, -0.11268565600063567], [0.5839140265599958, -0.16268563230199448], [0.5651454666887108, -0.2126856075256425], [0.541376909330787, -0.26268558058878644], [0.5126083547002815, -0.3126855514507543], [0.47883980273360593, -0.3626855256939256], [0.4400712514265505, -0.4126855364920773], [0.39786819681409813, -0.43137558974170126], [0.3548664856557755, -0.42865866213180953]]","[-0.49999944292035825, -0.4999994825601363, -0.4999995273249969, -0.4999995748270654, -0.4999996230040066, -0.499999669488071, -0.4999997116335448, -0.4999997466782975, -0.49999977200033513, -0.49999978545499707, -0.4999997857784104, -0.49999977305369087, -0.49999974956703924, -0.4999997256574447, -0.4999997574728931, -0.5000001209555912, -0.1869005437327665, 0.027169267606023735]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false]]",1.437705759334358e-18,7.564929237983113e-18,5.126914417876794e-18,1.652813830256217e-17,True,1.652813830256217e-17,far,far
5,-0.872836090288714,0.0655017444190018,-2.0064406219207935,0.0,optimal,-0.50000099540119,176.9704475718888,0.30527273294878743,16,vel_lower,-9.95401190029277e-07,0,u_lower,0,14,"[[-0.8728360970838828, 0.0655017342400785], [-0.8687859354279792, 0.015501625200763125], [-0.8697357843189034, -0.03449847623665386], [-0.875685642984428, -0.08449857009590744], [-0.8866355106491405, -0.13449865640304554], [-0.9025853865359148, -0.18449873520308185], [-0.9235352698684767, -0.23449880656550343], [-0.9494851598747007, -0.28449887059254975], [-0.9804350557906445, -0.3344989274267679], [-1.016384956865335, -0.3844989772568469], [-1.0573348623659562, -0.4344990203215711], [-1.1032847715833953, -0.48449905691218026], [-1.1542346838379554, -0.5344990873737361], [-1.2101845984852408, -0.5844991121077993], [-1.2711345149453728, -0.6344991320368149], [-1.3368580821412133, -0.6799721363194459], [-1.4055930555614107, -0.6947272670512126], [-1.4747458277459695, -0.688328123643319], [-1.542749768191044, -0.6717506469995277]]","[-0.50000099540119, -0.5000009261894438, -0.5000008572136849, -0.5000007884765341, -0.500000720142182, -0.5000006524252958, -0.5000005856190399, -0.5000005200881996, -0.5000004562524094, -0.5000003945678342, -0.5000003355116626, -0.5000002795726426, -0.5000002272645636, -0.5000001837437236, -0.4547300313190373, -0.1475512991721955, 0.06399143929267426, 0.16577476922948212]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,5.114801869772964e-20,5.717087001489718e-19,True,5.717087001489718e-19,far,mid
6,1.048419750376263,0.15799727894647786,1.1872036043927197,0.0,optimal,0.04329443441432798,0.9657772241808896,0.8025794317340162,18,pos_upper,0.35669439555928284,6,u_lower,0,0,"[[1.048419729884127, 0.15799727122271562], [1.0644359093325613, 0.16232670894501183], [1.0805478858860773, 0.15991319071929722], [1.0961541895579154, 0.1522132199296494], [1.1108142435481119, 0.14098815968282613], [1.1242480059338185, 0.12768734687705016], [1.136304492339457, 0.1134425977259099], [1.1469322154170167, 0.09911203842721852], [1.1561540529836094, 0.08532484763244921], [1.1640463957711042, 0.07252210621773063], [1.170722145371731, 0.060992951437965424], [1.1763170821841689, 0.05090582279608662], [1.1809791136536174, 0.042334822075667224], [1.1848599228137124, 0.03528135937486952], [1.1881085591393508, 0.02969135332674525], [1.1908665425007006, 0.025468292943245027], [1.1932640711416798, 0.022482256303267514], [1.1954167896932966, 0.020572092604281843], [1.1974205682659838, 0.019503461729843845]]","[0.04329443441432798, -0.024135142722454317, -0.07699968347143733, -0.11225059059172472, -0.13300812624345382, -0.14244749741124468, -0.14330560444071716, -0.13787192302326476, -0.12802743116959175, -0.1152915653654256, -0.10087130340812608, -0.08571002276330261, -0.07053464054336814, -0.055900071637892575, -0.042230612472848726, -0.029860372568708445, -0.01910164090456238, -0.010686310758618808]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",1.3492758748612684e-17,6.096069895665782e-18,5.114801869772964e-20,1.091225113929578e-19,False,1.3492758748612684e-17,far,far
7,-0.4655169019844212,0.5648376292738838,1.8083571580821092,0.0,optimal,0.4999997061586461,514.5415580977229,-2.7195602785523576e-05,9,vel_upper,2.4861402414533273e-07,6,u_upper,8,8,"[[-0.465516902874076, 0.564837626070804], [-0.4065331426263801, 0.614837593572394], [-0.34254938558901415, 0.6648375619949232], [-0.27356563167643555, 0.7148375312919409], [-0.19958188081009992, 0.7648375014207387], [-0.120598132917767, 0.8148374723479391], [-0.03661438793239323, 0.8648374440522124], [0.052369354209706044, 0.9148374165357652], [0.1463530931685264, 0.964837381770221], [0.24459632099276035, 1.0000271956027855], [0.34459642972207283, 0.9999750306609324], [0.44459566438404435, 1.0000096927503943], [0.5445953577249549, 0.9999842137943694], [0.6445935934572529, 0.9999805212865888], [0.744592575684988, 0.9999991164869259], [0.844593583329239, 1.0000210194442658], [0.9445949039241811, 1.0000053903809127], [1.0440477428046169, 0.9890513880343286], [1.1417544228559056, 0.9650822126749882]]","[0.4999997061586461, 0.4999997145280887, 0.49999972247458196, 0.4999997300285771, 0.4999997372739668, 0.4999997443193792, 0.49999975138597585, 0.49999967815141555, 0.35189816335305935, -0.000521896251869071, 0.0003466197356786811, -0.00025489100533179017, -3.6872907679810886e-05, 0.00018619554581375864, 0.00021928211028837832, -0.00015624533889046333, -0.10954003011621201, -0.23969175712639723]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",2.220446049250313e-16,6.096069895665782e-18,34.769076811286666,8.861206290900627e-21,True,34.769076811286666,near,near
8,0.8908271906360379,-0.36643355057763893,-0.15308338285564282,0.0,optimal,-0.499999468190878,81.96434462931101,0.24325851513313668,9,vel_lower,2.2267547811205546e-07,6,u_lower,0,7,"[[0.8908271955825492, -0.36643354554420915], [0.8516838486214964, -0.41643348782458245], [0.8075405071172213, -0.46643343627997147], [0.7583971704203363, -0.5164333908956595], [0.7042538378701226, -0.56643335167393], [0.6451105087991085, -0.6164333185404312], [0.5809671825410043, -0.666433291369448], [0.5118238585612239, -0.716433267507206], [0.43834045762533863, -0.7532348234838757], [0.362841645408147, -0.7567414848668633], [0.2882391220716389, -0.735309037044753], [0.21658031092513913, -0.6978672322488841], [0.14909799961071635, -0.6517790319923518], [0.08636605259930893, -0.6028599384465962], [0.028444750574774323, -0.5555661253398573], [-0.024992399420119896, -0.5131768918480643], [-0.07454867554277306, -0.4779486428276378], [-0.12100585018490538, -0.4511948581011184], [-0.1652057908482925, -0.4328039600162831]]","[-0.499999468190878, -0.4999995249152421, -0.49999958145536577, -0.4999996380380607, -0.4999996939633499, -0.49999974879198067, -0.4999997773245219, -0.36801557148266595, -0.03506662204129028, 0.214324472804047, 0.3744180447033335, 0.46088200092501963, 0.48919093496903937, 0.4729381313446869, 0.4238923356452863, 0.3522824911293453, 0.2675378481934323, 0.18390898163988698]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",2.0816681711721685e-17,6.096069895665782e-18,1.2284512062538443e-16,0.0,True,1.2284512062538443e-16,mid,mid
9,-1.459827949480868,-0.4148526095189426,0.8420251849152911,0.0,optimal,0.5000074763147134,1147.256633135581,0.36829266558486706,8,pos_lower,-7.476314713428245e-06,0,u_upper,0,17,"[[-1.4598278974177883, -0.41485253374871], [-1.4988130613829673, -0.3648517155549025], [-1.5327981463088638, -0.3148509562657051], [-1.5617831581990753, -0.26485025587999655], [-1.585768103105449, -0.21484961439687236], [-1.6047529871122252, -0.16484903157941122], [-1.618737816306734, -0.11484850690938544], [-1.6277225967452296, -0.06484803954576714], [-1.631707334415133, -0.014847628287785459], [-1.6306920351936407, 0.035152728457085225], [-1.6246767048035338, 0.08515303270063551], [-1.6136613487664366, 0.13515328689718706], [-1.5976459723541332, 0.18515349396344255], [-1.5766305805381138, 0.2351536572953901], [-1.5506151779378223, 0.28515378078126363], [-1.5195997687681597, 0.33515386880723647], [-1.4835843567876559, 0.3851539262449286], [-1.4425689450724515, 0.43515396195140216], [-1.3976330840885791, 0.4635630193129024]]","[0.5000074763147134, 0.5000069395785247, 0.5000064029645781, 0.5000058662847132, 0.5000053316697101, 0.5000048016641139, 0.5000042791920911, 0.5000037675161217, 0.5000032701915953, 0.5000027910258993, 0.5000023340397277, 0.500001903436768, 0.5000015035775589, 0.5000011389441477, 0.5000008140695629, 0.5000005333603668, 0.5000003362226448, 0.28409056750427586]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",4.141591335219444e-17,8.881784197001252e-16,1.4645051169690957e-16,5.334274688628682e-17,True,8.881784197001252e-16,far,mid
