magnitude,group_col,outcome,n_near,n_far,mean_near,mean_near_ci_low,mean_near_ci_high,mean_far,mean_far_ci_low,mean_far_ci_high,median_near,median_far,mwu_stat,mwu_p,cliffs_delta
0.005,group_fixed,objective_diff_abs,888,3024,18.224488980246427,17.383323177446847,19.096603158970975,13.510879957760004,12.977242518051403,14.036495081817531,16.572070114695947,7.72860755588245,1730480.0,1.5197492171883114e-39,0.28884837218170545
0.005,group_fixed,true_replay_max_violation_filled,888,3024,0.017754721890193118,0.015687174657668328,0.019820942509484893,0.0,0.0,0.0,0.0,0.0,1995840.0,0.0,0.4864864864864864
0.015,group_fixed,objective_diff_abs,885,3024,54.275063652094794,51.77143406364687,56.78000249881964,40.64239469572672,39.040506139911535,42.232199707605965,49.10406715827912,23.616581845469064,1720295.0,1.303745535433549e-38,0.2856059247302185
0.015,group_fixed,true_replay_max_violation_filled,888,3024,0.04690098935489165,0.04138625010501382,0.05245303773554237,0.0,0.0,0.0,4.721074879032727e-06,0.0,2029104.0,0.0,0.5112612612612613
0.03,group_fixed,objective_diff_abs,878,3007,110.06711050614715,105.01827849390037,115.15726507931996,81.13568570697392,78.00632411591369,84.33141405881933,96.08933648738119,48.53438206920303,1705791.0,4.909750452869568e-40,0.29219444682225904
0.03,group_fixed,true_replay_max_violation_filled,888,3024,0.0736995755449232,0.06504585083575992,0.08263019525918108,0.0008173630595479901,0.000458373209290899,0.0012256989295982134,0.0,0.0,1991979.5,0.0,0.48361121538204865
0.005,group_quantile,objective_diff_abs,1440,1440,17.30514624030017,16.619177482275344,18.012473959752615,11.729814907784979,10.981462550811052,12.479868532480882,14.693306631897912,5.169599553669693,1381940.0,2.825901412751454e-54,0.3328896604938272
0.005,group_quantile,true_replay_max_violation_filled,1440,1440,0.010958886237894969,0.009633963414033988,0.012305224311828102,0.0,0.0,0.0,0.0,0.0,1348560.0,3.9539201729981555e-112,0.3006944444444444
0.015,group_quantile,objective_diff_abs,1429,1440,50.969571159697985,48.89269787991691,53.03155605358523,35.255101705530436,33.02679765913,37.493622283259825,42.72844262768069,15.342863071535078,1367793.0,5.4364976368017e-53,0.32939993002099377
0.015,group_quantile,true_replay_max_violation_filled,1440,1440,0.029808440804809946,0.026401464527102802,0.0333717475531493,0.0,0.0,0.0,0.0,0.0,1381680.0,7.357399812734065e-126,0.33263888888888893
0.03,group_quantile,objective_diff_abs,1410,1439,103.33961408459548,99.22211501193554,107.51617606847306,71.13192997313158,66.52978985949963,75.64069040934342,87.1956826708449,32.19179214505588,1348937.0,1.0323370659618595e-52,0.32966352717361835
0.03,group_quantile,true_replay_max_violation_filled,1440,1440,0.050652961472281335,0.04495610182174402,0.05654976862070267,3.222099761584003e-05,0.0,9.252028436749647e-05,0.0,0.0,1403564.0,5.343473475417381e-134,0.35374614197530874
