magnitude,group_col,outcome,n_near,n_far,mean_near,mean_near_ci_low,mean_near_ci_high,mean_far,mean_far_ci_low,mean_far_ci_high,median_near,median_far,mwu_stat,mwu_p,cliffs_delta
0.005,group_fixed,objective_diff_abs,80,240,18.320981811969517,16.167204073408715,20.466938103449976,12.13150838939397,10.535786662779117,13.799969829496357,18.057508348362603,8.10640200975276,13322.0,1.0355126240973122e-07,0.3877083333333333
0.005,group_fixed,true_replay_max_violation_filled,80,240,0.016004211758220872,0.010125205095779629,0.022274478569948953,0.0,0.0,0.0,9.957214545663895e-06,0.0,14640.0,2.166885067418001e-33,0.5249999999999999
0.015,group_fixed,objective_diff_abs,80,240,55.106761714824685,48.554503182167785,61.66091637296833,36.449497714701614,31.60960111584919,41.533233482057305,56.122382212960304,24.36359187576588,13310.0,1.1328450759989725e-07,0.38645833333333335
0.015,group_fixed,true_replay_max_violation_filled,80,240,0.04333851723537766,0.027671321762659275,0.06030670119924381,0.0,0.0,0.0,8.275999313522853e-06,0.0,14760.0,3.0419739715812037e-34,0.5375000000000001
0.03,group_fixed,objective_diff_abs,80,239,111.00723256899862,97.41662912279101,124.90624545997119,72.78122507316725,63.399399561383476,82.71436758268865,107.88245878356491,51.1487641771554,13240.0,1.2817310490254735e-07,0.38493723849372374
0.03,group_fixed,true_replay_max_violation_filled,80,240,0.06460961062481319,0.04169852219333586,0.08995050155614451,0.0,0.0,0.0,9.233077783443733e-07,0.0,14400.0,1.06113137833395e-31,0.5
0.005,group_quantile,objective_diff_abs,120,120,16.174797884629644,14.28935577714027,18.09497125242311,7.9703269202060065,6.215951184550104,9.85700013057955,16.55842207893491,2.764636202887318,10841.0,6.457723464119844e-12,0.5056944444444444
0.005,group_quantile,true_replay_max_violation_filled,120,120,0.010669474505480583,0.006581541883573243,0.015295646967560896,0.0,0.0,0.0,0.0,0.0,9720.0,7.464148988562861e-13,0.3500000000000001
0.015,group_quantile,objective_diff_abs,120,120,48.77282863982303,42.9889129423424,54.59340959085066,24.04655757603099,18.770357458245474,29.68457370837775,47.71538294119566,7.514588757077746,10813.0,9.242421865117239e-12,0.5018055555555556
0.015,group_quantile,true_replay_max_violation_filled,120,120,0.02949055254193553,0.018403993888284325,0.04174829221222319,0.0,0.0,0.0,0.0,0.0,10020.0,1.898156687148067e-14,0.3916666666666666
0.03,group_quantile,objective_diff_abs,120,120,98.70427393882373,86.87977077181607,110.78948867581789,49.32005794861259,38.61706591411724,60.48757342258017,92.55090277412339,16.2667919573088,10720.0,2.983127648158578e-11,0.48888888888888893
0.03,group_quantile,true_replay_max_violation_filled,120,120,0.04836695123548151,0.03145074610796991,0.06641254054182667,0.0,0.0,0.0,0.0,0.0,10080.0,8.94937922578852e-15,0.3999999999999999
