method,seed,episode_id,tracking_rmse,cumulative_objective,violation_rate,episode_violated,max_violation,mean_violation,infeasibility_rate,saturation_rate,p_ref
baseline,101,0,1.1899035787069399,143.06102471455972,0.0,False,0.0,0.0,0.0,1.0,1.6091722804921922
baseline,101,1,0.29214614354926466,9.675631793550023,0.0,False,0.0,0.0,0.0,0.3,0.5984388404726964
baseline,101,2,2.7817143422939528,775.3040342548634,0.0,False,0.0,0.0,0.0,1.0,-1.8409248132325833
baseline,101,3,0.7872470959269647,64.26936103419143,0.0,False,0.0,0.0,0.0,1.0,-0.3163370579000677
random_weight,101,0,1.1899035787069399,143.06102471455972,0.0,False,0.0,0.0,0.0,1.0,1.6091722804921922
random_weight,101,1,0.29348696430222815,9.72080260978501,0.0,False,0.0,0.0,0.0,0.2,0.5984388404726964
random_weight,101,2,2.7817143422939528,775.3040342548634,0.0,False,0.0,0.0,0.0,1.0,-1.8409248132325833
random_weight,101,3,0.7872470959269647,64.26936103419143,0.0,False,0.0,0.0,0.0,1.0,-0.3163370579000677
margin_weighted,101,0,1.1899035787069399,143.06102471455972,0.0,False,0.0,0.0,0.0,1.0,1.6091722804921922
margin_weighted,101,1,0.29710909159146015,9.885854789757511,0.0,False,0.0,0.0,0.0,0.0,0.5984388404726964
margin_weighted,101,2,2.7817143422939528,775.3040342548634,0.0,False,0.0,0.0,0.0,1.0,-1.8409248132325833
margin_weighted,101,3,0.7872470959269647,64.26936103419143,0.0,False,0.0,0.0,0.0,1.0,-0.3163370579000677
