magnitude,group_col,outcome,n_near,n_far,mean_near,mean_near_ci_low,mean_near_ci_high,mean_far,mean_far_ci_low,mean_far_ci_high,median_near,median_far,mwu_stat,mwu_p,cliffs_delta
0.005,group_fixed,objective_diff_abs,888,3024,18.224516086826434,17.383423913026615,19.096689415334808,13.51107183954361,12.977432518998757,14.036685472272696,16.57214785759703,7.728486716133606,1730445.0,1.5436280839890246e-39,0.2888223044473044
0.005,group_fixed,true_replay_max_violation_filled,888,3024,0.017752720528732262,0.01568551148400357,0.01981953676871968,0.0,0.0,0.0,0.0,0.0,1791720.0,9.289668272623845e-240,0.33445945945945943
0.015,group_fixed,objective_diff_abs,885,3024,54.27516006678384,51.771322799216165,56.7801006201078,40.64272463442923,39.040850450338816,42.232561054500394,49.104403284,23.61752416204725,1720289.0,1.3071986550706326e-38,0.28560144082742944
0.015,group_fixed,true_replay_max_violation_filled,888,3024,0.0468992612660371,0.04138409785923412,0.052451833014960134,0.0,0.0,0.0,0.0,0.0,1809864.0,3.98955489030791e-250,0.347972972972973
0.03,group_fixed,objective_diff_abs,878,3007,110.0671910189884,105.0183321080575,115.15737956858067,81.13600088929735,78.00666519284424,84.33175006117858,96.08946091504623,48.5344202534029,1705788.0,4.916437821905812e-40,0.2921921742206681
0.03,group_fixed,true_replay_max_violation_filled,888,3024,0.0736993272693202,0.06504555104256388,0.08262959789766337,0.0008173635395788341,0.0004583736166117164,0.001225698140399769,0.0,0.0,1795677.0,6.826215507978604e-220,0.33740660303160297
0.005,group_quantile,objective_diff_abs,1440,1440,17.30522883196758,16.619374239273352,18.01270791044443,11.729968588621988,10.981579115158475,12.480022791532932,14.693495338721107,5.169613611608941,1381914.0,2.877513850692278e-54,0.33286458333333324
0.005,group_quantile,true_replay_max_violation_filled,1440,1440,0.010957652011764749,0.009632898514221435,0.012304607455262495,0.0,0.0,0.0,0.0,0.0,1251360.0,2.9707619140116413e-74,0.20694444444444438
0.015,group_quantile,objective_diff_abs,1429,1440,50.9698260031353,48.89281453890243,53.03190701374128,35.25532012149666,33.02702046713061,37.4938675568385,42.72842189031218,15.342896641109721,1367787.0,5.459102479414175e-53,0.3293940984371355
0.015,group_quantile,true_replay_max_violation_filled,1440,1440,0.02980737265797872,0.026400329450409498,0.033371031099226275,0.0,0.0,0.0,0.0,0.0,1276560.0,9.717552664677184e-84,0.23124999999999996
0.03,group_quantile,objective_diff_abs,1410,1439,103.33983946167686,99.22236365777145,107.5164570414237,71.1321711819534,66.52989116923858,75.64101264352162,87.19561603544167,32.1918642436195,1348938.0,1.031617784632127e-52,0.3296645128857214
0.03,group_quantile,true_replay_max_violation_filled,1440,1440,0.05065265579208074,0.04495583521730722,0.05654951391354711,3.222095401625343e-05,0.0,9.252027534913665e-05,0.0,0.0,1297226.0,1.4440118749081946e-90,0.25118248456790115
