magnitude,group_col,flag,n_near,n_far,rate_near,rate_far,p_value
0.005,group_fixed,active_set_changed,888,3024,0.5078828828828829,0.0,0.0
0.005,group_fixed,perturbed_feasible,888,3024,1.0,1.0,
0.005,group_fixed,true_replay_violated,888,3024,0.3333333333333333,0.0,0.0
0.015,group_fixed,active_set_changed,888,3024,0.7004504504504504,0.0,0.0
0.015,group_fixed,perturbed_feasible,888,3024,0.9966216216216216,1.0,0.0013862061580176555
0.015,group_fixed,true_replay_violated,888,3024,0.34797297297297297,0.0,0.0
0.03,group_fixed,active_set_changed,888,3024,0.7556306306306306,0.01984126984126984,0.0
0.03,group_fixed,perturbed_feasible,888,3024,0.9887387387387387,0.9943783068783069,0.07430997066189082
0.03,group_fixed,true_replay_violated,888,3024,0.34346846846846846,0.008928571428571428,0.0
0.005,group_quantile,active_set_changed,1440,1440,0.31319444444444444,0.0,0.0
0.005,group_quantile,perturbed_feasible,1440,1440,1.0,1.0,
0.005,group_quantile,true_replay_violated,1440,1440,0.20625,0.0,0.0
0.015,group_quantile,active_set_changed,1440,1440,0.47638888888888886,0.0,0.0
0.015,group_quantile,perturbed_feasible,1440,1440,0.9923611111111111,1.0,0.0008906231359524508
0.015,group_quantile,true_replay_violated,1440,1440,0.23125,0.0,0.0
0.03,group_quantile,active_set_changed,1440,1440,0.5736111111111111,0.0020833333333333333,0.0
0.03,group_quantile,perturbed_feasible,1440,1440,0.9791666666666666,0.9993055555555556,1.6337195907212276e-07
0.03,group_quantile,true_replay_violated,1440,1440,0.2520833333333333,0.0020833333333333333,0.0
