magnitude,group_col,flag,n_near,n_far,rate_near,rate_far,p_value
0.005,group_fixed,active_set_changed,80,240,0.5625,0.0,0.0
0.005,group_fixed,perturbed_feasible,80,240,1.0,1.0,
0.005,group_fixed,true_replay_violated,80,240,0.325,0.0,0.0
0.015,group_fixed,active_set_changed,80,240,0.8125,0.0,0.0
0.015,group_fixed,perturbed_feasible,80,240,1.0,1.0,
0.015,group_fixed,true_replay_violated,80,240,0.325,0.0,0.0
0.03,group_fixed,active_set_changed,80,240,0.8375,0.020833333333333332,0.0
0.03,group_fixed,perturbed_feasible,80,240,1.0,0.9958333333333333,0.5630923092160207
0.03,group_fixed,true_replay_violated,80,240,0.325,0.0,0.0
0.005,group_quantile,active_set_changed,120,120,0.375,0.0,9.903189379656396e-14
0.005,group_quantile,perturbed_feasible,120,120,1.0,1.0,
0.005,group_quantile,true_replay_violated,120,120,0.21666666666666667,0.0,6.667948260208334e-08
0.015,group_quantile,active_set_changed,120,120,0.6166666666666667,0.0,0.0
0.015,group_quantile,perturbed_feasible,120,120,1.0,1.0,
0.015,group_quantile,true_replay_violated,120,120,0.24166666666666667,0.0,9.283530388870531e-09
0.03,group_quantile,active_set_changed,120,120,0.6666666666666666,0.0,0.0
0.03,group_quantile,perturbed_feasible,120,120,1.0,1.0,
0.03,group_quantile,true_replay_violated,120,120,0.26666666666666666,0.0,1.2288285944350719e-09
